massfeature_rows	m/z	retention_time	p_value	statistic	CompoundID_from_user
row1	827.5636	4.42	2.7976e-27	-15.313	"827.5636_4.42"
row2	895.5513	4.42	1.1865e-26	-14.986	"895.5513_4.42"
row3	894.5471	4.42	2.0667e-26	-14.861	"894.5471_4.42"
row4	826.5601	4.42	1.1581e-25	-14.476	"826.5601_4.42"
row5	874.56	4.26	1.0032e-23	-13.498	"874.56_4.26"
row6	596.3923	2.41	1.5807e-22	-12.905	"596.3923_2.41"
row7	860.5375	4.16	2.6947e-22	-12.792	"860.5375_4.16"
row8	859.5335	4.16	4.8812e-22	-12.665	"859.5335_4.16"
row9	875.5629	4.26	1.026e-21	-12.508	"875.5629_4.26"
row10	582.3762	2.05	1.2053e-18	-11.032	"582.3762_2.05"
row11	524.2773	1.01	4.2532e-18	10.772	"524.2773_1.01"
row12	500.2771	1.06	5.1318e-18	10.733	"500.2771_1.06"
row13	883.5343	4.1	6.5991e-18	-10.682	"883.5343_4.1"
row14	884.5372	4.1	1.6373e-16	-10.024	"884.5372_4.1"
row15	501.2786	1.06	2.3805e-16	9.9471	"501.2786_1.06"
row16	594.3764	1.8	1.108e-15	-9.633	"594.3764_1.8"
row17	833.5185	4.08	1.4322e-15	-9.5806	"833.5185_4.08"
row18	525.2777	1.01	1.5977e-15	9.5583	"525.2777_1.01"
row19	844.6012	5.36	6.01e-15	-9.2878	"844.6012_5.36"
row20	775.5321	4.23	6.1997e-15	-9.2814	"775.5321_4.23"
row21	788.5793	4.98	7.5129e-15	-9.2422	"788.5793_4.98"
row22	116.0695	0.57	8.9344e-15	9.2068	"116.0695_0.57"
row23	834.5216	4.08	4.9052e-14	-8.8587	"834.5216_4.08"
row24	539.2488	0.58	6.0017e-14	8.8174	"539.2488_0.58"
row25	452.2773	1.27	9.7883e-14	8.7172	"452.2773_1.27"
row26	822.5293	4.05	1.1767e-13	-8.6795	"822.5293_4.05"
row27	118.0498	0.56	1.2112e-13	8.6736	"118.0498_0.56"
row28	835.5241	4.08	1.4117e-13	-8.6422	"835.5241_4.08"
