EID	massfeature_rows	str_row_ion	compounds	compound_names
E5	row1782;row1854	row1782_M-H[-];row1854_M(C13)-H[-]	C00249	Hexadecanoic acid; Hexadecanoate; Hexadecylic acid; Palmitic acid; Palmitate; Cetylic acid
E17	row1028;row1124	row1028_M(C13)-H[-];row1124_M-H[-]	C00078;C00525	L-Tryptophan; Tryptophan; (S)-alpha-Amino-beta-(3-indolyl)-propionic acid$D-Tryptophan
E24	row1078	row1078_M-H2O-H[-]	C16265	N-Acetylgalactosamine 4-sulfate
E25	row690;row902	row690_M+Na-2H[-];row902_M-2H[2-]	C01185	Nicotinate D-ribonucleotide; beta-Nicotinate D-ribonucleotide; Nicotinate ribonucleotide; Nicotinic acid ribonucleotide
E28	row218	row218_M-H2O-H[-]	CE5798	neuromedin N (1-4)
E29	row343	row343_M-H[-]	C00500	Biliverdin; Biliverdin IXalpha
E31	row255	row255_M-H2O-H[-]	C03263;C05768	Coproporphyrinogen III$Coproporphyrinogen I
E32	row1433	row1433_M-2H[2-]	glac;C00072;C02670	D-glucurono-6,3-lactone$Ascorbate; Ascorbic acid; L-Ascorbate; L-Ascorbic acid; Vitamin C$D-Glucuronolactone; Glucurone; Glucofuranurono-6,3-lactone; D-Glucurono-3,6-lactone; D-Glucurone
E38	row1857;row2103	row1857_M-H[-];row2103_M(C13)-H[-]	CE5867	N-acetyl-seryl-aspartyl-lysyl-proline
E39	row1376	row1376_M-2H[2-]	C04677	1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide; 5'-Phosphoribosyl-5-amino-4-imidazolecarboxamide; 5'-Phospho-ribosyl-5-amino-4-imidazole carboxamide; AICAR; 5-Aminoimidazole-4-carboxamide ribotide; 5-Phosphoribosyl-4-carbamoyl-5-aminoimidazole; 5-Amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide
E41	row1302	row1302_M-H2O-H[-]	CE6252	
E48	row1817	row1817_M-H[-]	CE1059	
