EID	massfeature_rows	str_row_ion	compounds	compound_names
E2	row1096;row1230	row1096_M(C13)-H[-];row1230_M-H[-]	C00712	(9Z)-Octadecenoic acid; (Z)-Octadec-9-enoic acid; Oleate; Oleic acid
E6	row975	row975_M-2H[2-]	C05893	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-alanine
E11	row666;row719	row666_M(C13)-H[-];row719_M-H[-]	C06429	(4Z,7Z,10Z,13Z,16Z,19Z)-Docosahexaenoic acid; 4,7,10,13,16,19-Docosahexaenoic acid; Docosahexaenoic acid
E18	row1808	row1808_M-H2O-H[-]	C05260	(S)-3-Hydroxytetradecanoyl-CoA
E23	row439	row439_M-2H[2-]	CE2837	maltoheptaose
E27	row362;row383	row362_M(C13)-H[-];row383_M-H[-]	C08261	
E32	row832	row832_M-H[-]	tststeroneglc;C11134	testosterone glucuronide$Testosterone glucuronide; Testosterone 17beta-(beta-D-glucuronide)
E33	row1341	row1341_M-2H[2-]	C11555;C04520;C04477;C01272	1D-myo-Inositol 1,4,5,6-tetrakisphosphate; D-myo-Inositol 1,4,5,6-tetrakisphosphate; Inositol 1,4,5,6-tetrakisphosphate$1D-myo-Inositol 3,4,5,6-tetrakisphosphate; D-myo-Inositol 3,4,5,6-tetrakisphosphate; Inositol 3,4,5,6-tetrakisphosphate$1D-myo-Inositol 1,3,4,6-tetrakisphosphate; D-myo-Inositol 1,3,4,6-tetrakisphosphate; Inositol 1,3,4,6-tetrakisphosphate$1D-myo-Inositol 1,3,4,5-tetrakisphosphate; D-myo-Inositol 1,3,4,5-tetrakisphosphate; Inositol 1,3,4,5-tetrakisphosphate
E38	row1483	row1483_M-H[-]	C00500	Biliverdin; Biliverdin IXalpha
E40	row943	row943_M-H[-]	C05963	
E44	row48;row59	row48_M(C13)-H[-];row59_M-H[-]	C00078;C00525	L-Tryptophan; Tryptophan; (S)-alpha-Amino-beta-(3-indolyl)-propionic acid$D-Tryptophan
E46	row376	row376_M-H2O-H[-]	CE2751	dynorphin A (1-5)
E48	row1519	row1519_M-H[-]	C17335;CE2205;CE2202	$1alpha,24R,25-trihydroxyvitamin D3$23S,25,26-trihydroxyvitamin D3
E51	row823	row823_M-H[-]	CE1059	
E60	row594	row594_M-H[-]	C04756	O-1-Alk-1-enyl-2-acyl-sn-glycero-3-phosphoethanolamine; Phosphatidalethanolamine; Plasmenylethanolamine; Ethanolamineplasmalogen; 2-Acyl-1-(1-alkenyl)-sn-glycero-3-phosphoethanolamine
E65	row1330	row1330_M-H2O-H[-]	C05594	3-Methoxy-4-hydroxyphenylethyleneglycol
E79	row1350	row1350_M-H[-]	C00245	Taurine; 2-Aminoethanesulfonic acid; Aminoethylsulfonic acid
E80	row246;row287	row246_M(C13)-H[-];row287_M-H[-]	ahandrostanglc;C11136;C11135;andrstrnglc;5adtststeroneglc	Etiocholan-3alpha-ol-17-one 3-glucuronide$Etiocholan-3alpha-ol-17-one 3-glucuronide$Androsterone glucuronide; Androsterone 3-glucuronide$androsterone glucuronide$5alpha-Dihydrotestosterone glucuronide
E81	row1441	row1441_M-H[-]	C05463;C05465	Taurodeoxycholate$Taurochenodeoxycholate; Chenodeoxycholoyltaurine
E86	row1365;row349	row1365_M-H[-];row349_M+ACN-H[-]	C00065;C00740	L-Serine; L-2-Amino-3-hydroxypropionic acid; L-3-Hydroxy-alanine; Serine$D-Serine
E94	row813	row813_M-H[-]	C06427;C06426	(9Z,12Z,15Z)-Octadecatrienoic acid; alpha-Linolenic acid; 9,12,15-Octadecatrienoic acid; Linolenate; alpha-Linolenate$(6Z,9Z,12Z)-Octadecatrienoic acid; 6,9,12-Octadecatrienoic acid; gamma-Linolenic acid; Gamolenic acid
