EID	massfeature_rows	str_row_ion	compounds	compound_names
E4	row1234	row1234_M+Na[1+]	C01044	N-Formyl-L-aspartate
E5	row1985	row1985_M+H[1+]	C14762;C14826;C14825	13(S)-HODE; (13S)-Hydroxyoctadecadienoic acid; (9Z, 11E)-(13S)-13-Hydroxyoctadeca-9,11-dienoic acid$12(13)-EpOME; (12R,13S)-(9Z)-12,13-Epoxyoctadecenoic acid$9(10)-EpOME; (9R,10S)-(12Z)-9,10-Epoxyoctadecenoic acid
E6	row2062	row2062_M+Na[1+]	C01530	Octadecanoic acid; Stearate; Stearic acid
E10	row1171;row1421;row1510;row1539	row1171_M-H4O2+H[1+];row1421_M-H2O+H[1+];row1510_M+H[1+];row1539_M(C13)+H[1+]	C01530	Octadecanoic acid; Stearate; Stearic acid
E12	row373	row373_M+Na[1+]	C03242	(8Z,11Z,14Z)-Icosatrienoic acid; Dihomo-gamma-linolenic acid; (Z,Z,Z)-8,11,14-Eicosatrienoic acid; (Z,Z,Z)-8,11,14-Icosatrienoic acid; (Z,Z,Z)-8,11,14-Eicosatrienoate; (Z,Z,Z)-8,11,14-Icosatrienoate; 8,11,14-Eicosatrienoate; 8,11,14-Icosatrienoate
E13	row1975;row2040	row1975_M+H[1+];row2040_M+Na[1+]	C06428;C02075;CE5932;CE5013	(5Z,8Z,11Z,14Z,17Z)-Icosapentaenoic acid; (5Z,8Z,11Z,14Z,17Z)-Eicosapentaenoic acid; Eicosapentaenoic acid; 5,8,11,14,17-Icosapentaenoic acid; (5Z,8Z,11Z,14Z,17Z)-Eicosapentaenoate$Retinyl ester; all-trans-Retinyl ester$13,14-epoxy-retinol$
E14	row866	row866_M-H2O+H[1+]	C16014	cis-Stilbene oxide
E18	row751;row868	row751_M+H[1+];row868_M-H2O+H[1+]	C06424	Tetradecanoic acid; Tetradecanoate; Myristic acid
E22	row799	row799_M+Na[1+]	C00756	1-Octanol
E24	row2047	row2047_M+Na[1+]	C00756	1-Octanol
E28	row566	row566_M+H[1+]	C04317	1-Organyl-2-lyso-sn-glycero-3-phosphocholine; 1-Radyl-2-lyso-sn-glycero-3-phosphocholine; 1-Alkyl-2-lyso-sn-glycero-3-phosphocholine; 1-Alkyl-sn-glycero-3-phosphocholine
E39	row804	row804_M-H2O+H[1+]	C00762;C01780	Cortisone; 17alpha,21-Dihydroxy-4-pregnene-3,11,20-trione; Kendall's compound E; Reichstein's substance Fa$Aldosterone; 11beta,21-Dihydroxy-3,20-dioxo-4-pregnen-18-al
E45	row298	row298_M-H2O+H[1+]	CE5840;CE5838	$
E51	row1173	row1173_M+Na[1+]	hpdcacrn	heptadecanoyl carnitine
E54	row1822	row1822_M+H[1+]	CE5560	glycolithocholate
E65	row1773	row1773_M-H2O+H[1+]	C00590	Coniferyl alcohol; Coniferol; 4-(3-Hydroxy-1-propenyl)-2-methoxyphenol
E66	row1509;row2235	row1509_M[1+];row2235_M+H[1+]	CE3140	
E70	row1288	row1288_M+Na[1+]	C06006	(S)-2-Aceto-2-hydroxybutanoate; (S)-2-Hydroxy-2-ethyl-3-oxobutanoate
E74	row150	row150_M+Na[1+]	C00370	Sterol
E75	row21;row30;row32	row21_M+H[1+];row30_M-H4O2+H[1+];row32_M-H2O+H[1+]	17ahprgstrn;C01176;C05498;C03205	17alpha-Hydroxyprogesterone$17alpha-Hydroxyprogesterone; 17alpha-Hydroxy-4-pregnene-3,20-dione; Pregn-4-ene-3,20-dione-17-ol; 17alpha-Hydroxy-progesterone$11beta-Hydroxyprogesterone$11-Deoxycorticosterone; Deoxycorticosterone; Cortexone; 21-Hydroxy-4-pregnene-3,20-dione; Desoxycortone; DOC
E76	row21	row21_M+H[1+]	C03748;CE1353;CE5888	16alpha-Hydroxyprogesterone; 16-alpha-Hydroxyprogesterone$6beta-hydroxyprogesterone$2beta-hydroxyprogesterone
E81	row1587	row1587_M-H2O+H[1+]	C06423	Octanoic acid; Caprylic acid; Octylic acid
E82	row236;row283	row236_M+Na[1+];row283_M+H[1+]	C00763;CE4788;C00148	D-Proline$acetamidopropanal$L-Proline; 2-Pyrrolidinecarboxylic acid
E84	row1383;row1674;row2188	row1383_M+H[1+];row1674_M+Na[1+];row2188_M-H2O+H[1+]	C06124	Sphingosine 1-phosphate; Sphing-4-enine 1-phosphate
E85	row735;row742	row735_M-H2O+H[1+];row742_M[1+]	C03640	Sphingosyl-phosphocholine
E90	row1975;row1979;row2032;row2058	row1975_M+Na[1+];row1979_M-H2O+H[1+];row2032_M+H[1+];row2058_M-H4O2+H[1+]	C01595	Linoleate; Linoleic acid; (9Z,12Z)-Octadecadienoic acid; 9-cis,12-cis-Octadecadienoate; 9-cis,12-cis-Octadecadienoic acid
E92	row1662	row1662_M+Na[1+]	C05849	Vitamin K1 epoxide; (2,3-Epoxyphytyl)menaquinone; 2,3-Epoxy-2,3-dihydro-2-methyl-3-phytyl-1,4-naphthoquinone; 2,3-Epoxyphylloquinone; 1a,7a-Dihydro-1a-methyl-7a-(3,7,11,15-tetramethyl-2-hexadecenyl)-naphth[2,3-b]oxirene-2,7-dione; Phylloquinone oxide; Phylloquinone epoxide; Phylloquinone-2,3-epoxide; Vitamin K1 2,3-epoxide; Vitamin K1 oxide
E96	row353	row353_M+H[1+]	C11509	3beta-Hydroxy-4beta-methyl-5alpha-cholest-7-ene-4alpha-carbaldehyde
E99	row30	row30_M+Na[1+]	C01034;C00619	3-Oxo-delta5-steroid$3-Oxo-delta4-steroid
E102	row1703	row1703_M+H[1+]	CE5708	15-oxo-Prostaglandin E2 glyceryl ester
E108	row1347;row1613	row1347_M-H2O+H[1+];row1613_M-H4O2+H[1+]	C12144	Phytosphingosine; 4-D-Hydroxysphinganine
E110	row314	row314_M+H[1+]	C01120	Sphinganine 1-phosphate; Dihydrosphingosine 1-phosphate
E122	row384	row384_M+Na[1+]	C00299	Uridine
E125	row28	row28_M-H2O+H[1+]	C05589;C00788	L-Normetanephrine$L-Adrenaline; (R)-(-)-Adrenaline; (R)-(-)-Epinephrine; (R)-(-)-Epirenamine; (R)-(-)-Adnephrine; 4-[(1R)-1-Hydroxy-2-(methylamino)ethyl]-1,2-benzenediol
E130	row580	row580_M+H[1+]	C06459	N-Trimethyl-2-aminoethylphosphonate; 2-Trimethylaminoethylphosphonate
E144	row1225;row1301	row1225_M-H4O2+H[1+];row1301_M-H2O+H[1+]	C14762;C14826;C14825	13(S)-HODE; (13S)-Hydroxyoctadecadienoic acid; (9Z, 11E)-(13S)-13-Hydroxyoctadeca-9,11-dienoic acid$12(13)-EpOME; (12R,13S)-(9Z)-12,13-Epoxyoctadecenoic acid$9(10)-EpOME; (9R,10S)-(12Z)-9,10-Epoxyoctadecenoic acid
E156	row131	row131_M-H2O+H[1+]	C01753;CE2314;C15915	Sitosterol; beta-Sitosterol$4,4-dimethylcholesta-8(9)-en-3beta-ol$4,4-Dimethyl-5alpha-cholesta-8-en-3beta-ol
E158	row1554;row904	row1554_M(C13)+H[1+];row904_M+H[1+]	C05332;C02846	Phenethylamine; 2-Phenylethylamine; beta-Phenylethylamine; Phenylethylamine$N,N-Dimethylaniline; Dimethylaminobenzene; N,N-Dimethylbenzenamine
E162	row1709;row677	row1709_M-H2O+H[1+];row677_M+NaCl[1+]	C01802;C00599;C05443;C05439;C05437;C01164	Desmosterol; 24-Dehydrocholesterol; Cholesta-5,24-dien-3beta-ol$Cholest-4-en-3-one; Cholestenone; 4-Cholesten-3-one$Vitamin D3; Cholecalciferol$5alpha-Cholesta-7,24-dien-3beta-ol$Zymosterol; delta8,24-Cholestadien-3beta-ol; 5alpha-Cholesta-8,24-dien-3beta-ol$Cholesta-5,7-dien-3beta-ol; 7-Dehydrocholesterol; Provitamin D3
E166	row274	row274_M+H[1+]	CE7074	13'-hydroxy-gama-tocotrienol
E171	row1338	row1338_M-H2O+H[1+]	C13856	2-Arachidonoylglycerol; 2-Arachidonoyl-sn-glycerol
E172	row1740;row1970	row1740_M+H+Na[2+];row1970_M+H[1+]	C01712	(9E)-Octadecenoic acid; 9-Octadecenoic acid, (E)-; (E)-Oleic acid; D9-trans-Octadecenoic acid; 9-trans-Octadecenoic acid; trans-D9-Octadecenoic acid; trans-9-Octadecenoic acid; trans-Elaidic acid; trans-Oleic acid; Elaidic acid; Acide elaidique; Elaidinsaure
E181	row965	row965_M+Na[1+]	C00249	Hexadecanoic acid; Hexadecanoate; Hexadecylic acid; Palmitic acid; Palmitate; Cetylic acid
E183	row680	row680_M+Na[1+]	C03087	5-Acetamidopentanoate
E186	row1112;row2047;row843;row889;row91	row1112_M-H2O+H[1+];row2047_M+2H[2+];row843_M(C13)+H[1+];row889_M+H[1+];row91_M-H4O2+H[1+]	C00219	(5Z,8Z,11Z,14Z)-Icosatetraenoic acid; Arachidonate; Arachidonic acid; cis-5,8,11,14-Eicosatetraenoic acid
E189	row29	row29_M-H2O+H[1+]	C01183;C02735;C00483	N,N-Dimethylaniline N-oxide$Phenylethanolamine; 2-Amino-1-phenylethanol$Tyramine; 2-(p-Hydroxyphenyl)ethylamine
E191	row1676;row965	row1676_M+H2O+H[1+];row965_M+H[1+]	C06427;C06426	(9Z,12Z,15Z)-Octadecatrienoic acid; alpha-Linolenic acid; 9,12,15-Octadecatrienoic acid; Linolenate; alpha-Linolenate$(6Z,9Z,12Z)-Octadecatrienoic acid; 6,9,12-Octadecatrienoic acid; gamma-Linolenic acid; Gamolenic acid
E197	row1661	row1661_M-H2O+H[1+]	C02373	4-Methylpentanal; Isocaproaldehyde; Isohexanal
E202	row716	row716_M+H[1+]	C04409	2-Amino-3-carboxymuconate semialdehyde; 2-Amino-3-(3-oxoprop-1-enyl)-but-2-enedioate; 2-Amino-3-(3-oxoprop-1-en-1-yl)but-2-enedioate
E205	row704	row704_M-H2O+H[1+]	lnlccrn;lneldccrn	Linoleyl carnitine$Linoelaidyl carnitine
E208	row298	row298_M+H[1+]	C04840	3beta-Hydroxy-4beta-methyl-5alpha-cholest-7-ene-4alpha-carboxylate
E211	row1928	row1928_M+Na[1+]	dcsptn1crn;clpndcrn	docosa-4,7,10,13,16-pentaenoyl carnitine$clupanodonyl carnitine
E212	row2179	row2179_M+Na[1+]	CE5079	1alpha-hydroxy-23-carboxy-24,25,26,27-tetranorvitamin D3
E215	row1426	row1426_M-H2O+H[1+]	C00780	3-(2-Aminoethyl)-1H-indol-5-ol; Serotonin; 5-Hydroxytryptamine; Enteramine
E220	row1112;row889	row1112_M+H[1+];row889_M+H2O+H[1+]	retinol-cis-13;retinol-cis-11;CE5590;CE1754	cis-13-retinol$cis-11-retinol$13-cis-retinol$9-cis-retinol
E221	row77	row77_M+Na[1+]	C00535;C03772;C00674;dhea;C01227	Testosterone; 17beta-Hydroxy-4-androsten-3-one$5beta-Androstane-3,17-dione$5alpha-Androstane-3,17-dione; Androstanedione$Dehydroepiandrosterone$3beta-Hydroxyandrost-5-en-17-one; Dehydroepiandrosterone; Dehydroisoandrosterone; DHA; DHEA
E226	row1306;row1860;row1870;row2047	row1306_M+H2O+H[1+];row1860_M-H2O+H[1+];row1870_M-CO+H[1+];row2047_M+H[1+]	C02759;C11409;C02452;C00964	$(+)-trans-Carveol; (4S,6R)-trans-Carveol$Perillyl alcohol; (-)-Perillyl alcohol; p-Mentha-1,8-dien-7-ol; (-)-Perillylalcohol$(-)-trans-Carveol
E228	row346;row361;row582	row346_M[1+];row361_M+H[1+];row582_M(C13)+H[1+]	C02477	alpha-Tocopherol; Vitamin E
E229	row735	row735_M+Na[1+]	elaidcrn;vacccrn;odecrn	Elaidic carnitine$Vaccenyl carnitine$octadecenoyl carnitine
E240	row1347;row1613	row1347_M+H[1+];row1613_M-H2O+H[1+]	C00319;C02934	Sphingosine; Sphingenine; Sphingoid; Sphing-4-enine$3-Dehydrosphinganine; 3-Dehydro-D-sphinganine
E242	row841	row841_M-H2O+H[1+]	C02442;C03711	N-Methyltyramine$N-Methylphenylethanolamine
E250	row121;row150	row121_M+H[1+];row150_M-H2O+H[1+]	C00535;C03772;C00674;dhea;C01227	Testosterone; 17beta-Hydroxy-4-androsten-3-one$5beta-Androstane-3,17-dione$5alpha-Androstane-3,17-dione; Androstanedione$Dehydroepiandrosterone$3beta-Hydroxyandrost-5-en-17-one; Dehydroepiandrosterone; Dehydroisoandrosterone; DHA; DHEA
E253	row36	row36_M+H[1+]	C04598	2-Acetyl-1-alkyl-sn-glycero-3-phosphocholine
E257	row1534	row1534_M+Na[1+]	C17337;CE2203;CE2206	$25-hydroxyvitamin D3-26,23-lactol$24-oxo-1alpha,25-dihydroxyvitamin D3
E259	row732	row732_M+Na[1+]	C04654;C00696;C00427;C02198;C06314;C04853;C01312;C04671;C06315;C00584	(13E)-11alpha-Hydroxy-9,15-dioxoprost-13-enoate$(5Z,13E)-(15S)-9alpha,15-Dihydroxy-11-oxoprosta-5,13-dienoate; Prostaglandin D2$Prostaglandin H2; (5Z,13E)-(15S)-9alpha,11alpha-Epidioxy-15-hydroxyprosta-5,13-dienoate$Thromboxane A2; (5Z,13E)-(15S)-9alpha,11alpha-Epoxy-15-hydroxythromboxa-5,13-dienoate; (5Z,9alpha,11alpha,13E,15S)-9,11-Epoxy-15-hydroxythromboxa-5,13-dien-1-oic acid$Lipoxin A4; LXA4; 5S,6R,15S-Trihydroxy-7E,9E,11Z,13E-eicosatetraenoic acid; (7E,9E,11Z,13E)-(5S,6R,15S)-5,6,15-Trihydroxyicosa-7,9,11,13-tetraenoic acid$20-OH-Leukotriene B4; 20-OH-LTB4; 20-Hydroxy-leukotriene B4; (6Z,8E,10E,14Z)-(5S,12R)-5,12,20-Trihydroxyeicosa-6,8,10,14-tetraenoate; (6Z,8E,10E,14Z)-(5S,12R)-5,12,20-Trihydroxyicosa-6,8,10,14-tetraenoate$Prostaglandin I2; (5Z,13E)-(15S)-6,9alpha-Epoxy-11alpha,15-dihydroxyprosta-5,13-dienoate; Prostacyclin; PGI2; Epoprostenol$(5Z)-(15S)-11alpha-Hydroxy-9,15-dioxoprostanoate$Lipoxin B4; LXB4; 5S,14R,15S-Trihydroxy-6E,8Z,10E,12E-eicosatetraenoic acid; (6E,8Z,10E,12E)-(5S,14R,15S)-Trihydroxyicosa-6,8,10,12-tetraenoic acid$Prostaglandin E2; (5Z,13E)-(15S)-11alpha,15-Dihydroxy-9-oxoprosta-5,13-dienoate; (5Z,13E)-(15S)-11alpha,15-Dihydroxy-9-oxoprost-13-enoate; Dinoprostone
