EID	massfeature_rows	str_row_ion	compounds	compound_names
E2	row2025	row2025_M+H[1+]	C00836	Sphinganine; Dihydrosphingosine; 2-Amino-1,3-dihydroxyoctadecane
E10	row1807	row1807_M+Na[1+]	C04598	2-Acetyl-1-alkyl-sn-glycero-3-phosphocholine
E11	row1041;row259	row1041_M-H4O2+H[1+];row259_M-H2O+H[1+]	C05580	3,4-Dihydroxymandelate
E14	row1135	row1135_M+Na[1+]	CE5847	9'-carboxy-gama-tocotrienol
E18	row313	row313_M+Na[1+]	tmndnccrn	Timnodonyl carnitine
E21	row1726	row1726_M+Na[1+]	CE5082	N-acetyl-L-cystathionine
E26	row345	row345_M+H[1+]	C01034;C00619	3-Oxo-delta5-steroid$3-Oxo-delta4-steroid
E31	row534;row950	row534_M+H2O+H[1+];row950_M+H[1+]	retinol-cis-13;retinol-cis-11;CE5590;CE1754	cis-13-retinol$cis-11-retinol$13-cis-retinol$9-cis-retinol
E36	row2233	row2233_M+Na[1+]	CE5868	N-acetyl-seryl-aspartate
E37	row597;row663;row950	row597_M+2H[2+];row663_M+H[1+];row950_M+H2O+H[1+]	CE5014	anhydroretinol
E38	row723	row723_M+Na[1+]	C05301;hestratriol;CE2179;C05141	2-Hydroxyestradiol-17beta; 2-OH-Estradiol$4,17 dihydroxy estradiol$4-hydroxy-17beta-estradiol$Estriol; 1,3,5(10)-Estratriene-3,16-alpha,17beta-triol
E44	row488	row488_M+H[1+]	C00235;C00129	Dimethylallyl diphosphate; Prenyl diphosphate; 2-Isopentenyl diphosphate; delta2-Isopentenyl diphosphate; delta-Prenyl diphosphate; DMAPP$Isopentenyl diphosphate; delta3-Isopentenyl diphosphate; delta3-Methyl-3-butenyl diphosphate
E46	row342;row580;row637;row966	row342_M-H2O+H[1+];row580_M-H4O2+H[1+];row637_M+H[1+];row966_M(C13)+H[1+]	C02140;C05477;C05497;C05488	Corticosterone; 11beta,21-Dihydroxy-4-pregnene-3,20-dione; Kendall's compound B; Reichstein's substance H$21-Hydroxy-5beta-pregnane-3,11,20-trione$21-Deoxycortisol; 4-Pregnene-11beta,17alpha-diol-3,20-dione; 11beta,17alpha-Dihydroxyprogesterone$11-Deoxycortisol; Cortodoxone
E50	row580	row580_M+Na[1+]	C00535;dhea;C03772;C00674;C01227	Testosterone; 17beta-Hydroxy-4-androsten-3-one$Dehydroepiandrosterone$5beta-Androstane-3,17-dione$5alpha-Androstane-3,17-dione; Androstanedione$3beta-Hydroxyandrost-5-en-17-one; Dehydroepiandrosterone; Dehydroisoandrosterone; DHA; DHEA
E51	row1710	row1710_M+Na[1+]	C05476	Tetrahydrocorticosterone
E59	row1094	row1094_M+Na[1+]	C05849	Vitamin K1 epoxide; (2,3-Epoxyphytyl)menaquinone; 2,3-Epoxy-2,3-dihydro-2-methyl-3-phytyl-1,4-naphthoquinone; 2,3-Epoxyphylloquinone; 1a,7a-Dihydro-1a-methyl-7a-(3,7,11,15-tetramethyl-2-hexadecenyl)-naphth[2,3-b]oxirene-2,7-dione; Phylloquinone oxide; Phylloquinone epoxide; Phylloquinone-2,3-epoxide; Vitamin K1 2,3-epoxide; Vitamin K1 oxide
E64	row601;row674;row686;row736	row601_M-H4O2+H[1+];row674_M-H2O+H[1+];row686_M+H[1+];row736_M+Na[1+]	C01595	Linoleate; Linoleic acid; (9Z,12Z)-Octadecadienoic acid; 9-cis,12-cis-Octadecadienoate; 9-cis,12-cis-Octadecadienoic acid
E66	row690	row690_M-H2O+H[1+]	C00780	3-(2-Aminoethyl)-1H-indol-5-ol; Serotonin; 5-Hydroxytryptamine; Enteramine
E69	row450;row524	row450_M-H2O+H[1+];row524_M-H4O2+H[1+]	CE1059	
E71	row342;row637	row342_M-H4O2+H[1+];row637_M-H2O+H[1+]	C05489;C05474;C05471	11beta,17alpha,21-Trihydroxypregnenolone$3alpha,11beta,21-Trihydroxy-20-oxo-5beta-pregnan-18-al$11beta,17alpha,21-Trihydroxy-5beta-pregnane-3,20-dione; 5beta-Pregnane-11beta,17alpha,21-triol-3,20-dione
E72	row814	row814_M+Na[1+]	C00795;C13747;C00221;C00267;C00137;C00738;C07480;C00095;C00962;C00247;C00984;C00159;C00936;C01582;C02336;C00293;C00124;C00031	D-Tagatose; lyxo-Hexulose$1,7-Dimethylxanthine; Paraxanthine$beta-D-Glucose$alpha-D-Glucose$myo-Inositol; D-myo-Inositol; 1D-myo-Inositol; L-myo-Inositol; 1L-myo-Inositol; meso-Inositol; Inositol; Dambose; Cyclohexitol; Meat sugar; Bios I$D-Hexose$$D-Fructose; Levulose; Fruit sugar; D-arabino-Hexulose$beta-D-Galactose$L-Sorbose; L-xylo-Hexulose$alpha-D-Galactose$D-Mannose; Mannose; Seminose; Carubinose$$Galactose$beta-D-Fructose; beta-Fruit sugar; beta-D-arabino-Hexulose; beta-Levulose; Fructose$Glucose$D-Galactose$D-Glucose; Grape sugar; Dextrose
E77	row440	row440_M+H[1+]	C11509	3beta-Hydroxy-4beta-methyl-5alpha-cholest-7-ene-4alpha-carbaldehyde
E82	row1192	row1192_M+Na[1+]	elaidcrn;vacccrn;odecrn	Elaidic carnitine$Vaccenyl carnitine$octadecenoyl carnitine
E87	row836	row836_M+Na[1+]	tetpent3crn;tetpent6crn	tetracosapentaenoyl carnitine$tetracosapentaenoyl carnitine
E90	row497;row503	row497_M+Na[1+];row503_M+2H[2+]	C00219	(5Z,8Z,11Z,14Z)-Icosatetraenoic acid; Arachidonate; Arachidonic acid; cis-5,8,11,14-Eicosatetraenoic acid
E92	row1160;row534;row663;row950	row1160_M(C13)+H[1+];row534_M+H2O+H[1+];row663_M-H2O+H[1+];row950_M+H[1+]	C00899;C00473	11-cis-Retinol$Retinol; all-trans-Retinol; Vitamin A; Vitamin A1
E98	row816	row816_M-H2O+H[1+]	C15781;C04453;C05103;C15777	24-Methylenecholesterol$4alpha-Methyl-5alpha-cholest-7-en-3-one$$Episterol
