EID	massfeature_rows	str_row_ion	compounds	compound_names
E1	row1848	row1848_M+Na[1+]	C04598	2-Acetyl-1-alkyl-sn-glycero-3-phosphocholine
E3	row690	row690_M+H[1+]	C06205	1,2-Dihydronaphthalene-1,2-diol
E7	row1077;row1081;row2219	row1077_M(C13)+H[1+];row1081_M+H[1+];row2219_M+Na[1+]	C06429	(4Z,7Z,10Z,13Z,16Z,19Z)-Docosahexaenoic acid; 4,7,10,13,16,19-Docosahexaenoic acid; Docosahexaenoic acid
E9	row1244;row757	row1244_M+H[1+];row757_M(C13)+H[1+]	C00500	Biliverdin; Biliverdin IXalpha
E10	row714	row714_M+H[1+]	CE1347	19-Hydroxydeoxycorticosterone
E11	row321;row324;row345;row375	row321_M+H[1+];row324_M-H2O+H[1+];row345_M+Na[1+];row375_M-H4O2+H[1+]	C08261	
E21	row1187	row1187_M+Na[1+]	C00370	Sterol
E22	row1284	row1284_M-H2O+H[1+]	tymsf	Tyramine O-sulfate
E24	row1062	row1062_M+H[1+]	elaidcrn;vacccrn;odecrn	Elaidic carnitine$Vaccenyl carnitine$octadecenoyl carnitine
E33	row1527	row1527_M+H[1+]	C04409	2-Amino-3-carboxymuconate semialdehyde; 2-Amino-3-(3-oxoprop-1-enyl)-but-2-enedioate; 2-Amino-3-(3-oxoprop-1-en-1-yl)but-2-enedioate
E35	row215	row215_M+H[1+]	C00235;C00129	Dimethylallyl diphosphate; Prenyl diphosphate; 2-Isopentenyl diphosphate; delta2-Isopentenyl diphosphate; delta-Prenyl diphosphate; DMAPP$Isopentenyl diphosphate; delta3-Isopentenyl diphosphate; delta3-Methyl-3-butenyl diphosphate
E36	row120	row120_M+Na[1+]	tetpent3crn;tetpent6crn	tetracosapentaenoyl carnitine$tetracosapentaenoyl carnitine
E41	row1271;row420;row591	row1271_M+Na[1+];row420_M(C13)+H[1+];row591_M+H[1+]	C00486	Bilirubin
E42	row213;row247	row213_M-H2O+H[1+];row247_M-H4O2+H[1+]	C04373;C03917;C04295;C05293;C00523	3alpha-Hydroxy-5beta-androstan-17-one; Etiocholan-3alpha-ol-17-one; 3alpha-Hydroxyetiocholan-17-one$17beta-Hydroxyandrostan-3-one; 5alpha-Dihydrotestosterone; Androstanolone; 17beta-Hydroxy-5alpha-androstan-3-one$Androst-5-ene-3beta,17beta-diol; 3beta,17beta-Dihydroxyandrost-5-ene; 3beta,17beta-Dihydroxy-5-androstene; Androstenediol$5beta-Dihydrotestosterone$Androsterone; 3alpha-Hydroxy-5alpha-androstan-17-one
E51	row1974	row1974_M-H2O+H[1+]	C13856	2-Arachidonoylglycerol; 2-Arachidonoyl-sn-glycerol
