EID	massfeature_rows	str_row_ion	compounds	compound_names
E1	row478;row526	row478_M+H[1+];row526_M(C13)+H[1+]	C04483;C02528	3alpha,12alpha-Dihydroxy-5beta-cholanate; Deoxycholic acid; Deoxycholate; 3alpha,12alpha-Dihydroxy-5beta-cholanic acid$Chenodeoxycholate; Chenodeoxycholic acid; 3alpha,7alpha-Dihydroxy-5beta-cholanic acid; Chenodiol
E6	row429	row429_M+H[1+]	CE5845	5'-carboxy-alpha-chromanol
E7	row2155	row2155_M-H2O+H[1+]	C05455;C01561	7alpha-Hydroxycholest-4-en-3-one$Calcidiol; 25-Hydroxyvitamin D3; Calcifediol; Calcifediol anhydrous
E10	row1508	row1508_M+Na[1+]	C00370	Sterol
E16	row530;row549;row651;row690	row530_M(C13)+H[1+];row549_M-H4O2+H[1+];row651_M-H2O+H[1+];row690_M+H[1+]	C06427;C06426	(9Z,12Z,15Z)-Octadecatrienoic acid; alpha-Linolenic acid; 9,12,15-Octadecatrienoic acid; Linolenate; alpha-Linolenate$(6Z,9Z,12Z)-Octadecatrienoic acid; 6,9,12-Octadecatrienoic acid; gamma-Linolenic acid; Gamolenic acid
E26	row1046;row1220	row1046_M+H[1+];row1220_M-H2O+H[1+]	C06424	Tetradecanoic acid; Tetradecanoate; Myristic acid
E32	row1779	row1779_M+Na[1+]	tmndnccrn	Timnodonyl carnitine
E34	row88	row88_M+H[1+]	C04317	1-Organyl-2-lyso-sn-glycero-3-phosphocholine; 1-Radyl-2-lyso-sn-glycero-3-phosphocholine; 1-Alkyl-2-lyso-sn-glycero-3-phosphocholine; 1-Alkyl-sn-glycero-3-phosphocholine
E40	row961	row961_M+H[1+]	C11509	3beta-Hydroxy-4beta-methyl-5alpha-cholest-7-ene-4alpha-carbaldehyde
E47	row1593	row1593_M-H2O+H[1+]	C00590	Coniferyl alcohol; Coniferol; 4-(3-Hydroxy-1-propenyl)-2-methoxyphenol
E51	row1478	row1478_M-H2O+H[1+]	CE2615	2-hydroxyamino-3,8-dimethylimidazo[4,5-f]quinoxaline
E57	row1889	row1889_M+H[1+]	C00262	Hypoxanthine; Purine-6-ol
E60	row1196;row686;row827	row1196_M+H[1+];row686_M(C13)+H[1+];row827_M[1+]	C02477	alpha-Tocopherol; Vitamin E
E72	row198	row198_M-H2O+H[1+]	C01183;C02735;C00483	N,N-Dimethylaniline N-oxide$Phenylethanolamine; 2-Amino-1-phenylethanol$Tyramine; 2-(p-Hydroxyphenyl)ethylamine
E73	row23	row23_M+H[1+]	C00486	Bilirubin
E74	row1366	row1366_M+H[1+]	elaidcrn;vacccrn;odecrn	Elaidic carnitine$Vaccenyl carnitine$octadecenoyl carnitine
E82	row191;row250	row191_M-H4O2+H[1+];row250_M+Na[1+]	ahandrostanglc;C11135;C11136;andrstrnglc;5adtststeroneglc	Etiocholan-3alpha-ol-17-one 3-glucuronide$Androsterone glucuronide; Androsterone 3-glucuronide$Etiocholan-3alpha-ol-17-one 3-glucuronide$androsterone glucuronide$5alpha-Dihydrotestosterone glucuronide
E90	row126	row126_M+H[1+]	C04598	2-Acetyl-1-alkyl-sn-glycero-3-phosphocholine
E101	row2155	row2155_M+H[1+]	CE2321;C05107	cholesta-5,7,24-trien-3beta-ol$7-Dehydrodesmosterol
E105	row1405	row1405_M+Na[1+]	CE5868	N-acetyl-seryl-aspartate
E109	row1092;row1230;row768;row807	row1092_M+H[1+];row1230_M(C13)+H[1+];row768_M-H2O+H[1+];row807_M+H2O+H[1+]	C00899;C00473	11-cis-Retinol$Retinol; all-trans-Retinol; Vitamin A; Vitamin A1
E110	row1235;row1580;row2036	row1235_M(C13)+H[1+];row1580_M+H[1+];row2036_M+Na[1+]	C00486	Bilirubin
E127	row11	row11_M-H2O+H[1+]	C08261	
E130	row2211	row2211_M+Na[1+]	CE2243;C03595;CE5151	trans-eicos-2-enoyl-CoA$8,11,14-Eicosatrienoyl-CoA; 8,11,14-Icosatrienoyl-CoA; (8Z,11Z,14Z)-Icosatrienoyl-CoA$11-cis-eicosenoyl-CoA
E132	row635;row719	row635_M+H[1+];row719_M+H+Na[2+]	C01712	(9E)-Octadecenoic acid; 9-Octadecenoic acid, (E)-; (E)-Oleic acid; D9-trans-Octadecenoic acid; 9-trans-Octadecenoic acid; trans-D9-Octadecenoic acid; trans-9-Octadecenoic acid; trans-Elaidic acid; trans-Oleic acid; Elaidic acid; Acide elaidique; Elaidinsaure
E133	row1181;row1453	row1181_M+H[1+];row1453_M+H2O+H[1+]	C06427;C06426	(9Z,12Z,15Z)-Octadecatrienoic acid; alpha-Linolenic acid; 9,12,15-Octadecatrienoic acid; Linolenate; alpha-Linolenate$(6Z,9Z,12Z)-Octadecatrienoic acid; 6,9,12-Octadecatrienoic acid; gamma-Linolenic acid; Gamolenic acid
E141	row1253	row1253_M+Na[1+]	C15493;C00777	9-cis-Retinoic acid$Retinoate; Retinoic acid; Vitamin A acid; all-trans-Retinoate; Acide retinoique (French) (DSL); Tretinoine (French) (EINECS); 3,7-Dimethyl-9-(2,6,6-trimethyl-1-cyclohexene-1-yl)-2,4,6,8-nonatetraenoic acid (ECL); (all-E)-3,7-Dimethyl-9-(2,6,6-trimethyl-1-cyclohexen-1-yl)-2,4,6,8-nonatetraenoic acid; beta-Retinoic acid; AGN 100335; all-(E)-Retinoic acid; all-trans-beta-Retinoic acid; all-trans-Retinoic acid; all-trans-Tretinoin; all-trans-Vitamin A acid; Ro 1-5488; trans-Retinoic acid; Tretin M; all-trans-Vitamin A1 acid
E142	row2244	row2244_M+H[1+]	CE1395	
E143	row750	row750_M+Na[1+]	CE5526;CE5527;C14765	$$13-OxoODE; 13-KODE; (9Z,11E)-13-Oxooctadeca-9,11-dienoic acid
E153	row2127	row2127_M+H[1+]	CE5560	glycolithocholate
E154	row44	row44_M+Na[1+]	tetpent3crn;tetpent6crn	tetracosapentaenoyl carnitine$tetracosapentaenoyl carnitine
E160	row1593	row1593_M+H[1+]	C06205	1,2-Dihydronaphthalene-1,2-diol
E161	row2244	row2244_M-H2O+H[1+]	C02442;C03711	N-Methyltyramine$N-Methylphenylethanolamine
E166	row1741	row1741_M+H[1+]	C00235;C00129	Dimethylallyl diphosphate; Prenyl diphosphate; 2-Isopentenyl diphosphate; delta2-Isopentenyl diphosphate; delta-Prenyl diphosphate; DMAPP$Isopentenyl diphosphate; delta3-Isopentenyl diphosphate; delta3-Methyl-3-butenyl diphosphate
E167	row628	row628_M+Na[1+]	C05849	Vitamin K1 epoxide; (2,3-Epoxyphytyl)menaquinone; 2,3-Epoxy-2,3-dihydro-2-methyl-3-phytyl-1,4-naphthoquinone; 2,3-Epoxyphylloquinone; 1a,7a-Dihydro-1a-methyl-7a-(3,7,11,15-tetramethyl-2-hexadecenyl)-naphth[2,3-b]oxirene-2,7-dione; Phylloquinone oxide; Phylloquinone epoxide; Phylloquinone-2,3-epoxide; Vitamin K1 2,3-epoxide; Vitamin K1 oxide
E168	row651;row690	row651_M-H4O2+H[1+];row690_M-H2O+H[1+]	C14762;C14825;C14826	13(S)-HODE; (13S)-Hydroxyoctadecadienoic acid; (9Z, 11E)-(13S)-13-Hydroxyoctadeca-9,11-dienoic acid$9(10)-EpOME; (9R,10S)-(12Z)-9,10-Epoxyoctadecenoic acid$12(13)-EpOME; (12R,13S)-(9Z)-12,13-Epoxyoctadecenoic acid
E170	row1219	row1219_M+H[1+]	CE1347	19-Hydroxydeoxycorticosterone
